gene_id,treatment,sex,lifestage
CAH1F,control,female,adult
CAH1M,control,male,adult
CAH2F,control,female,adult
CAH2M,control,male,adult
CAH3F,control,female,adult
CAH3M,control,male,adult
CAH4F,control,female,adult
CAH4M,control,male,adult
CAH5F,control,female,adult
CAH5M,control,male,adult
CAH6F,control,female,adult
CAH6M,control,male,adult
CAH7F,control,female,adult
CAH7M,control,male,adult
CAH8F,control,female,adult
CAH8M,control,male,adult
CAL1F,control,female,adult
CAL1M,control,male,adult
CAL2F,control,female,adult
CAL2M,control,male,adult
CAL3F,control,female,adult
CAL3M,control,male,adult
CAL4F,control,female,adult
CAL4M,control,male,adult
CAL5F,control,female,adult
CAL5M,control,male,adult
CAL6F,control,female,adult
CAL6M,control,male,adult
CAL7F,control,female,larvae
CAL7M,control,male,larvae
CAL8F,control,female,larvae
CAL8M,control,male,larvae
CLH1,control,,larvae
CLH2,control,,larvae
CLH3,control,,larvae
CLH4,control,,larvae
CLL1,control,,larvae
CLL2,control,,larvae
CLL3,control,,larvae
CLL4,control,,larvae
FAH1F,fluctuating,female,adult
FAH1M,fluctuating,male,adult
FAH2F,fluctuating,female,adult
FAH2M,fluctuating,male,adult
FAH3F,fluctuating,female,adult
FAH3M,fluctuating,male,adult
FAH4F,fluctuating,female,adult
FAH4M,fluctuating,male,adult
FAH5F,fluctuating,female,adult
FAH5M,fluctuating,male,adult
FAH6F,fluctuating,female,adult
FAH6M,fluctuating,male,adult
FAH7F,fluctuating,female,adult
FAH7M,fluctuating,male,adult
FAH8F,fluctuating,female,adult
FAH8M,fluctuating,male,adult
FAL1F,fluctuating,female,adult
FAL1M,fluctuating,male,adult
FAL2F,fluctuating,female,adult
FAL2M,fluctuating,male,adult
FAL3F,fluctuating,female,adult
FAL3M,fluctuating,male,adult
FAL4F,fluctuating,female,adult
FAL4M,fluctuating,male,adult
FAL5F,fluctuating,female,adult
FAL5M,fluctuating,male,adult
FAL6F,fluctuating,female,adult
FAL6M,fluctuating,male,adult
FAL7F,fluctuating,female,adult
FAL7M,fluctuating,male,adult
FAL8F,fluctuating,female,adult
FAL8M,fluctuating,male,adult
FLH1,fluctuating,,larvae
FLH2,fluctuating,,larvae
FLH3,fluctuating,,larvae
FLH4,fluctuating,,larvae
FLL1,fluctuating,,larvae
FLL2,fluctuating,,larvae
FLL3,fluctuating,,larvae
FLL4,fluctuating,,larvae